studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels
05.048.0233,Nichtärztliche Heilberufe/Therapien,05.445.4455,Nichtärztliche Heilberufe/Therapien,,
05.048.0234,Pflegewissenschaft/-management,05.445.4457,Pflegewissenschaft/-management,,
05.049,Humanmedizin (ohne Zahnmedizin),,,,
05.049.0107,Medizin (Allgemein-Medizin),,,,
05.050,Zahnmedizin,,,,
05.050.0185,Zahnmedizin,,,,
07,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",,,07,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
07.051,Veterinärmedizin,,,,
07.051.0156,Tiermedizin/Veterinärmedizin,,,,
07.057,"Landespflege, Umweltgestaltung",,,07.615,"Landespflege, Umweltgestaltung"
07.057.0061,Meliorationswesen,07.615.6340,Meliorationswesen,,
07.057.0064,Naturschutz,07.615.6350,Naturschutz,,
07.057.0093,Landespflege/Landschaftsgestaltung,,,,
07.058,"Agrarwissenschaften, Lebensmittel- und Getränketechnologie",,,07.620,"Agrarwissenschaften, Lebensmittel- und Getränketechnologie"
07.058.0003,Agrarwissenschaft/Landwirtschaft,,,,
07.058.0028,Brauwesen/Getränketechnologie,,,,
07.058.0060,Gartenbau,07.620.6300,Gartenbau,,
07.058.0097,Lebensmitteltechnologie,,,,
07.058.0125,Agrarökonomie,,,,
07.058.0138,Agrarbiologie,07.620.6205,Agrarbiologie,,
07.058.0220,Milch- und Molkereiwirtschaft,07.620.6255,Milch- und Molkereiwirtschaft,,
07.058.0227,Weinbau und Kellerwirtschaft,07.620.6235,Weinbau- und Kellerwirtschaft,,
07.058.0353,Pflanzenproduktion,07.620.6220,Pflanzenproduktion,,
07.058.0371,Tierproduktion,07.620.6230,Tierproduktion,,
07.059,"Forstwissenschaft, Holzwirtschaft",,,07.640,"Forstwissenschaft, Holzwirtschaft"
07.059.0058,"Forstwissenschaft, -wirtschaft",,,,
07.059.0075,Holzwirtschaft,07.640.6415,Holzwirtschaft,,
07.060,Ernährungs- und Haushaltswissenschaften,,,07.650,Ernährungs- und Haushaltswissenschaften
07.060.0071,Haushalts- und Ernährungswissenschaft,,,,
07.060.0320,Ernährungswissenschaft,07.650.6520,Ernährungswissenschaften,,
07.060.0333,Haushaltswissenschaft,07.650.6510,Haushaltswissenschaften,,
08,Ingenieurwissenschaften,,,08,Ingenieurwissenschaften
08.061,Ingenieurwesen allgemein,,,,
08.061.0072,Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),,,,
08.061.0140,Angewandte Systemwissenschaften,,,,
08.061.0199,Lernbereich Technik,,,,
08.061.0201,Werken (technisch)/Technologie,,,,
08.061.0305,Medientechnik,08.670.6780,Medientechnik,,
08.061.0310,Regenerative Energien,08.670.6790,Regenerative Energien,,
08.061.0380,Mechatronik,08.670.6750,Mechatronik,,
08.062,"Bergbau, Hüttenwesen",,,08.680,"Bergbau, Hüttenwesen"
08.062.0020,Bergbau/Bergtechnik,,,,
08.062.0076,Hütten- und Gießereiwesen,08.680.6845,Hütten- und Gießereiwesen,,
08.062.0103,Markscheidewesen,,,,
08.062.0390,Archäometrie (Ingenieurarchäologie),08.680.6870,Archäometrie (Ingenieurarchäologie),,
08.063,Maschinenbau/Verfahrenstechnik,,,08.690,Maschinenbau/Verfahrenstechnik
08.063.0033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,,,,
08.063.0074,Transport-/Fördertechnik,,,,
08.063.0082,Holz-/Fasertechnik,,,,
08.063.0104,Maschinenbau/-wesen,,,,
08.063.0108,Metalltechnik,,,,
08.063.0141,Abfallwirtschaft,,,,
08.063.0143,Augenoptik,,,,
08.063.0144,Technische Kybernetik,,,,
08.063.0202,Fertigungs-/Produktionstechnik,,,,
08.063.0211,Energieverfahrenstechnik,08.690.6930,Energieverfahrenstechnik,,
08.063.0212,Feinwerktechnik,,,,
08.063.0213,Versorgungstechnik,,,,
08.063.0215,Gesundheitstechnik,,,,
08.063.0216,Glastechnik/Keramik,,,,
08.063.0219,Kunststofftechnik,08.690.7030,Kunststofftechnik,,
08.063.0224,Physikalische Technik/Mechanische Verfahrenstechnik,08.690.7020,Physikalische Technik/Mechanische Verfahrenstechnik,,
08.063.0225,Textil- und Bekleidungstechnik/-gewerbe,,,,
08.063.0226,Verfahrenstechnik,,,,
08.063.0231,Druck- und Reproduktionstechnik,,,,
08.063.0457,Umwelttechnik (einschl. Recycling),08.690.6985,Umwelttechnik (einschl. Recycling),,
08.064,Elektrotechnik und Informationstechnik,,,08.710,Elektrotechnik und Informationstechnik
08.064.0048,Elektrotechnik/Elektronik,,,,
08.064.0088,Optoelektronik,08.710.7150,Optoelektronik,,
08.064.0157,Mikroelektronik,,,,
08.064.0222,Kommunikations- und Informationstechnik,08.710.7130,Kommunikations- und Informationstechnik,,
08.064.0286,Mikrosystemtechnik,08.710.7140,Mikrosystemtechnik,,
08.064.0316,Elektrische Energietechnik,08.710.7120,Elektrische Energietechnik,,
08.065,"Verkehrstechnik, Nautik",,,08.720,"Verkehrstechnik, Nautik"
08.065.0057,Luft- und Raumfahrttechnik,08.720.7246,Luft- und Raumfahrttechnik,,
08.065.0089,Verkehrsingenieurwesen,08.720.7215,Verkehrsingenieurwesen,,
08.065.0142,Schiffbau/Schiffstechnik,,,,
08.065.0223,Nautik/Seefahrt,08.720.7230,"Nautik, Seefahrt",,
08.065.0235,Fahrzeugtechnik,08.720.7245,Fahrzeugtechnik,,
08.066,"Architektur, Innenarchitektur",,,,
08.066.0013,Architektur,,,,
08.066.0242,Innenarchitektur,08.730.7390,Innenarchitektur,,
08.067,Raumplanung,,,08.740,Raumplanung
