studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels,related_match_personal_ids , related_match_personal_labels, Bemerkungen,Nachweis zu Bemerkungen
04.037.0105,Mathematik,04.340.3400,Mathematik allgemein,,,,,abweichender Begriff/Plus
04.037.0118,Technomathematik,04.340.3470,Mathematik in Naturwissenschaften u. Technik,,,,,abweichender Begriff/Plus
04.037.0276,Wirtschaftsmathematik,03.290.2936,Wirtschaftsmathematik,,,
04.039,"Physik, Astronomie",,,4360,"Physik, Astronomie",
04.039.0014,Astrophysik und Astronomie,04.360.3690,Astrophysik und Astronomie,,,
04.039.0128,Physik,04.360.3600,"Physik, Astronomie allgemein",,,,,abweichender Begriff/Plus
04.040,Chemie,,,4370,Chemie,
04.040.0025,Biochemie,04.400.4065;04.370.3760,"Biochemie (f. Biologen) | Biochemie (f. Chemiker)",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen,
04.040.0032,Chemie,04.370.3700,Chemie allgemein,,,,,abweichender Begriff/Plus
04.040.0096,Lebensmittelchemie,04.370.3810,Lebensmittelchemie,,,
04.041,Pharmazie,,,4390,Pharmazie,
04.041.0126,Pharmazie,04.390.3900,Pharmazie allgemein,,,,,abweichender Begriff/Plus
04.042,Biologie,,,4400,Biologie,
04.042.0009,Anthropologie (Humanbiologie),04.400.4060,Anthropologie (Humanbiologie),,,
04.042.0026,Biologie,04.400.4000,Biologie allgemein,,,,,abweichender Begriff/Plus
04.042.0282,Biotechnologie,04.400.4035,Biotechnologie (f. Biologen),,,,, abweichender Begriff/Plus
04.042.0300,Biomedizin,,,,,
04.043,Geowissenschaften (ohne Geographie),,,4410,Geowissenschaften (ohne Geographie),
04.043.0039,Geowissenschaften allgemein,04.410.4100,Geowissenschaften allgemein,,,
04.043.0065,Geologie/Paläontologie,04.410.4120; 04.410.4190,"Paläontologie | Geoökologie",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen,
04.043.0066,Geophysik,04.410.4150,Geophysik,,,
04.043.0110,Meteorologie,04.410.4160,Meteorologie,,,
04.043.0111,Mineralogie,04.410.4130,Mineralogie,,,
04.043.0124,Ozeanographie,04.410.4135,Ozeanographie,,,
04.043.0385,Geoökologie,04.410.4190,Geoökologie,,,
04.044,Geographie,,,4420,Geographie,
04.044.0050,Geographie/Erdkunde,04.420.4250,Didaktik der Geographie,,,,,abweichender Begriff/Plus,
04.044.0178,Wirtschafts-/Sozialgeographie,04.420.4215,Wirtschafts- und Sozialgeographie,,,,,,
04.044.0283,Landschaftsökologie/Biogeographie,04.420.4240,Landschaftsökologie/Biogeographie,,,07.615.6320,Landschaftsökologie,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
05,Humanmedizin/Gesundheitswissenschaften,,,5,Humanmedizin/Gesundheitswissenschaften,
05.048,Gesundheitswissenschaften allgemein,,,,,
05.048.0195,Gesundheitspädagogik,05.445.4451,Gesundheitspädagogik,,,
05.048.0232,Gesundheitswissenschaften/-management,05.445.4453,Gesundheitswissenschaft/-management,,,
